Chris	Anderson	3	21								95		53		39		7		67		59		53		36		47		57		69		41		45		5		74		58		
Ron	Artest	3	20								91		44		38		29		70		62		49		45		33		39		68		54		67		5		53		67		
William	Avery	1	20								77		32		37		31		58		37		44		46		31		24		40		33		41		10		51		57		
Roberto	Bergesen	3	22								85		39		33		26		59		31		38		47		56		48		52		31		47		5		70		54		
Calvin	Booth	5	23								78		42		31		21		73		38		26		42		54		75		52		62		33		4		68		56		
Cal	Bowdler	4	22								92		42		27		7		58		20		26		41		40		48		42		57		43		11		42		54		
AJ	Bramlett	5	23								82		43		31		9		46		46		24		52		40		58		51		44		53		2		51		54		
Elton	Brand	4	19								80		49		38		5		67		71		54		29		86		63		73		49		63		9		73		52		
Rodney	Buford	2	22								87		42		30		31		77		50		13		20		36		40		49		26		48		2		82		43		
Louis	Bullock	2	20								86		34		40		33		99		48		38		36		25		28		40		36		44		3		56		47		
Brian	Cardinal	4	22								93		45		36		33		85		48		31		41		45		57		49		46		57		6		69		61		
Anthony	Carter	1	24								86		43		40		33		71		65		73		72		56		60		72		38		85		7		68		71		
John	Celestand	1	22								86		41		37		30		63		45		45		48		33		50		45		45		50		6		66		70		
Kris	Clack	2	21								91		43		36		32		62		34		28		50		47		45		42		40		65		7		68		66		
Speedy	Claxton	1	21								80		40		35		17		64		48		69		56		25		31		45		23		73		16		56		52		
Vonteego	Cummings	1	23								83		44		35		28		70		48		60		58		33		28		60		30		65		3		48		57		
Nicola	Dacevic	3	20								80		40		37		28		61		31		40		39		37		36		36		37		62		0		53		44		
Baron	Davis	1	20								94		41		36		31		56		59		56		53		46		45		50		42		54		10		63		67		
Keyon	Dooling	1	20								15		43		38		31		73		63		48		74		25		30		55		33		47		4		70		58		
Obinna	Ekezie	4	24								91		49		28		0		62		21		23		30		36		45		48		40		42		7		38		49		
Francisco	Elson	5	27								76		52		34		4		74		40		30		37		50		45		45		50		43		5		34		46		
Evan	Eschmeyer	5	24								100		50		34		0		52		32		45		35		48		36		60		56		50		7		37		57		
Jeff	Foster	5	23								83		48		34		3		61		36		28		50		75		72		55		42		53		6		67		60		
Steve	Francis	1	22								81		44		36		30		80		77		72		69		41		37		63		46		66		7		69		64		
Devean	George	3	22								88		50		39		36		69		41		31		58		51		44		57		48		46		3		47		56		
Guilherme	Giovannoni	3	19								83		52		44		31		66		53		37		49		45		48		62		44		53		7		80		81		
Gordan	Giricek	2	25								67		53		42		33		94		64		5		0		33		30		57		5		57		9		60		46		
Dion	Glover	2	21								91		43		36		27		59		45		27		36		54		58		44		39		61		5		52		62		
Richard	Hamilton	2	21								88		45		43		31		82		62		52		56		49		51		57		24		47		9		80		84		
Venson	Hamilton	5	22								91		52		34		3		54		43		31		43		69		64		50		54		44		5		58		53		
Chris	Herren	1	23								95		35		42		31		63		55		62		57		29		49		46		27		66		3		57		59		
Rico	Hill	3	21								95		53		39		19		38		39		26		42		37		49		64		37		33		1		49		62		
Eddie	House	2	21								89		41		40		36		72		61		42		69		26		24		51		24		55		3		62		70		
Tim	James	3	23								93		41		32		28		39		40		41		42		46		39		56		47		50		6		56		60		
Jumaine	Jones	3	20								75		46		40		30		57		36		37		57		43		52		64		33		49		4		67		48		
Lari	Ketner	4	22								93		42		32		13		29		31		42		36		44		63		43		55		52		5		56		67		
JR	Koch	3	22								91		46		32		13		60		37		48		26		60		63		57		43		40		5		70		57		
Trajan	Langdon	1	23								84		35		37		38		93		46		60		65		28		38		47		24		46		3		78		68		
Melvin	Levett	2	22								85		42		33		30		53		46		53		48		43		38		48		50		47		5		79		65		
Rashard	Lewis	3	20								90		48		40		33		66		51		34		37		41		62		55		56		58		6		69		66		
Quincy	Lewis	3	22								73		47		29		33		78		27		32		62		52		50		45		42		31		4		62		43		
Eddie	Lucas	2	23								94		42		32		23		56		38		38		40		43		36		61		27		55		2		62		55		
Todd	MacCulloch	5	23								75		57		27		6		44		45		34		26		55		58		63		55		33		14		81		58		
Jamaal	Magloire	5	21								78		47		35		5		53		57		45		35		73		77		73		69		60		5		62		73		
Andre	Miller	1	22								95		49		41		18		84		65		65		73		36		47		58		34		76		6		74		58		
Nazr	Mohammed	5	22								78		44		31		5		51		36		42		60		73		63		62		42		51		5		56		53		
Mamadou	N'Diaye	5	24								86		45		28		1		44		42		38		39		59		77		61		50		50		10		49		60		
Lee	Nailon	3	25								100		52		40		10		76		50		42		44		39		43		58		28		48		5		64		45		
Jermaine	O'Neal	4	20								79		46		39		14		56		66		39		31		65		67		75		60		50		14		82		68		
Scott	Padget	4	23								82		44		36		31		57		36		50		53		42		58		52		53		60		9		67		53		
Josko	Poljak	5	21								94		44		30		14		43		50		27		46		54		51		52		57		30		10		47		49		
James	Posey	3	23								88		55		39		34		74		53		43		50		65		58		65		29		69		9		60		55		
Laron	Profit	2	22								84		45		35		32		77		36		48		48		40		47		59		32		44		2		58		45		
Aleksander	Radojevic	5	24								80		44		30		15		36		69		45		22		68		77		57		67		42		10		34		63		
Ryan	Robertson	2	23								87		45		40		30		83		47		52		36		41		50		57		42		51		8		49		70		
Michael	Ruffin	4	23								79		28		14		0		39		0		35		34		66		63		73		51		51		12		73		47		
Antwain	Smith	3	21								86		39		37		24		47		32		37		40		39		48		58		35		50		1		30		51		
Leon	Smith	4	19								75		44		37		2		41		37		34		51		36		60		55		42		61		11		59		55		
Wally	Szczerbiak	3	22								79		42		43		31		81		62		55		35		59		73		66		36		43		8		74		49		
Kenny	Thomas	4	22								92		48		31		23		74		57		13		7		83		85		63		42		58		15		45		59		
Hedo	Turkoglu	3	20								90		40		37		30		65		30		39		55		40		50		45		44		43		6		58		77		
Tyrone	Washington	4	23								94		38		29		2		21		28		38		46		53		64		38		51		26		0		54		36		
Frederic	Weis	5	22								75		54		30		5		30		27		27		50		66		69		64		51		39		11		71		60		
Galen	Young	3	24								86		39		34		34		60		39		40		45		55		49		52		33		36		3		57		54		
Tim	Young	5	23								75		42		35		3		30		31		40		43		51		47		62		49		41		8		72		75		
Wang	Zhizhi	5	22								76		44		36		35		60		38		36		49		55		58		56		46		38		16		65		56		
